id,group,group_label,kanji,reading,indonesian,romaji,section
1,1,01–50,魚,さかな,Ikan,sakana,KANJI
2,1,01–50,肉,にく,Daging,niku,KANJI
3,1,01–50,卵,たまご,Telur,tamago,KANJI
4,1,01–50,水,みず,Air,mizu,KANJI
5,1,01–50,食べます,たべます,Makan,tabemasu,KANJI
6,1,01–50,飲みます,のみます,Minum,nomimasu,KANJI
7,1,01–50,大きい,おおきい,Besar,ookii,KANJI
8,1,01–50,小さい,ちいさい,Kecil,chiisai,KANJI
9,1,01–50,新しい,あたらしい,Baru,atarashii,KANJI
10,1,01–50,古い,ふるい,"Lama, usang",furui,KANJI
11,1,01–50,～時,～じ,~ jam,~ji,KANJI
12,1,01–50,～分,～ふん、ぷん、ぶん,~ menit,"~fun, pun, bun",KANJI
13,1,01–50,～半,～はん,~ setengah,~han,KANJI
14,1,01–50,月曜日,げつようび,Senin,getsuyoubi,KANJI
15,1,01–50,火曜日,かようび,Selasa,kayoubi,KANJI
16,1,01–50,水曜日,すいようび,Rabo,suiyoubi,KANJI
17,1,01–50,木曜日,もくようび,Kamis,もkuyoubi,KANJI
18,1,01–50,金曜日,きんようび,Jumat,kinyoubi,KANJI
19,1,01–50,土曜日,どようび,Sabtu,doyoubi,KANJI
20,1,01–50,日曜日,にちようび,Minggu,nichiyoubi,KANJI
21,1,01–50,言います,いいます,Berkata,iimasu,KANJI
22,1,01–50,話します,はなします,Berbicara,hanashimasu,KANJI
23,1,01–50,読みます,よみます,Membaca,yomimasu,KANJI
24,1,01–50,見ます,みます,Melihat,mimasu,KANJI
25,1,01–50,聞きます,ききます,Mendengarkan,kikimasu,KANJI
26,1,01–50,書きます,かきます,Menulis,kakimasu,KANJI
27,1,01–50,一,いち,Satu,ichi,KANJI
28,1,01–50,二,に,Dua,ni,KANJI
29,1,01–50,三,さん,Tiga,san,KANJI
30,1,01–50,四,よん、し,Empat,"yon, shi",KANJI
31,1,01–50,五,ご,Lima,go,KANJI
32,1,01–50,六,ろく,Enam,roku,KANJI
33,1,01–50,七,なな、しち,Tujuh,"nana, shichi",KANJI
34,1,01–50,八,はち,Delapan,hachi,KANJI
35,1,01–50,九,きゅう,Sembilan,kyuu,KANJI
36,1,01–50,十,じゅう,Sepuluh,jiyuu,KANJI
37,1,01–50,～年,～ねん,~ tahun,~nen,KANJI
38,1,01–50,～月,～がつ,~ bulan,~gatsu,KANJI
39,1,01–50,～日,～にち,~ tanggal,~nichi,KANJI
40,1,01–50,東,ひがし,Timur,higashi,KANJI
41,1,01–50,西,にし,Barat,nishi,KANJI
