id,bab,japanese,furigana,raw_display,romaji,indonesian
1,1,あの人,あのひと,あの人(ひと),anohito,orang itu
2,1,あなた,あなた,あなた,anata,anda
3,1,アメリカ,アメリカ,アメリカ,amerika,Amerika
4,1,イギリス,イギリス,イギリス,igirisu,Inggris
5,1,医者,いしゃ,医者(いしゃ),isha,dokter
6,1,インド,インド,インド,indo,India
7,1,インドネシア,インドネシア,インドネシア,indoneshia,Indonesia
8,1,エンジニア,エンジニア,エンジニア,enjinia,insinyur
9,1,会社いん,かいしゃいん,会社(かいしゃ)いん,kaishain,pegawai perusahaan
10,1,学せい,がくせい,学(がく)せい,gakusei,mahasiswa
11,1,韓国,かんこく,韓国(かんこく),kankoku,Korea Selatan
12,1,研究者,けんきゅうしゃ,研究者(けんきゅうしゃ),kenkyuusha,peneliti
13,1,こうべびょういん,こうべびょういん,こうべびょういん,koubebyouin,Rumah Sakit Kobe
14,1,歳,さい,歳(さい),sai,umur
15,1,社員,しゃいん,社員(しゃいん),shain,pegawai
16,1,先生,せんせい,先生(せんせい),sensei,guru
17,1,専門,せんもん,専門(せんもん),senmon,jurusan/keahlian
18,1,大学,だいがく,大学(だいがく),daigaku,universitas
19,1,だれ(どなた),だれ,だれ(どなた),dare,siapa
20,1,中国,ちゅうごく,中国(ちゅうごく),chuugoku,China
21,1,ドイツ,ドイツ,ドイツ,doitsu,Jerman
22,1,日本,にほん,日本(にほん),nihon,Jepang
23,1,病院,びょういん,病院(びょういん),byouin,rumah sakit
24,1,ブラジル,ブラジル,ブラジル,burajiru,Brasil
25,1,富士大学,ふじだいがく,富士大学(ふじだいがく),fujidaigaku,Universitas Fuji
26,1,本,ほん,本(ほん),hon,buku
27,1,わたし,わたし,わたし,watashi,saya
28,2,あれ,あれ,あれ,are,itu (jauh)
29,2,いす,いす,いす,isu,kursi
30,2,えんぴつ,えんぴつ,えんぴつ,enpitsu,pensil
31,2,かぎ,かぎ,かぎ,kagi,kunci
32,2,かさ,かさ,かさ,kasa,payung
33,2,かばん,かばん,かばん,kaban,tas
34,2,カメラ,カメラ,カメラ,kamera,kamera
35,2,車,くるま,車(くるま),kuruma,mobil
36,2,消しゴム,けしゴム,消(け)しゴム,keshigomu,penghapus pensil
37,2,これ,これ,これ,kore,ini
38,2,雑誌,ざっし,雑誌(ざっし),zasshi,majalah
39,2,じどうしゃ,じどうしゃ,じどうしゃ,jidousha,mobil
40,2,新聞,しんぶん,新聞(しんぶん),shinbun,koran
41,2,シャープペンシル,シャープペンシル,シャープペンシル,sha-pupenshiru,pensil mekanik
42,2,そう,そう,そう,sou,begitu
43,2,それ,それ,それ,sore,itu
44,2,違います,ちがいます,違(ちが)います,chigaimasu,bukan/salah
45,2,机,つくえ,机(つくえ),tsukue,meja
46,2,手帳,てちょう,手帳(てちょう),techou,buku agenda
47,2,テープ,テープ,テープ,te-pu,pita kaset
48,2,テープレコーダー,テープレコーダー,テープレコーダー,te-pureko-da-,tape recorder
49,2,テレビ,テレビ,テレビ,terebi,televisi
50,2,時計,とけい,時計(とけい),tokei,jam
51,2,なん(なに),なん,なん(なに),nan,apa
52,2,ノート,ノート,ノート,no-to,buku catatan
53,2,箱,はこ,箱(はこ),hako,kotak
54,2,ボールペン,ボールペン,ボールペン,bo-rupen,pulpen
55,2,名刺,めいし,名刺(めいし),meishi,kartu nama
56,2,ラジオ,ラジオ,ラジオ,rajio,radio
57,2,ラジカセ,ラジカセ,ラジカセ,rajikase,radio kaset
58,3,あそこ(あちら),あそこ,あそこ(あちら),asoko,sana (sopan)
59,3,いくら,いくら,いくら,ikura,berapa harga
60,3,イタリア,イタリア,イタリア,itaria,Italia
61,3,うけつけ,うけつけ,うけつけ,uketsuke,meja informasi
62,3,えん,えん,えん,en,yen
63,3,えれべーたー,えれべーたー,えれべーたー,erebe-ta-,lift
64,3,かいだん,かいだん,かいだん,kaidan,tangga
65,3,会社,かいしゃ,会社(かいしゃ),kaisha,perusahaan
66,3,教室,きょうしつ,教室(きょうしつ),kyoushitsu,ruang kelas
67,3,くに,くに,くに,kuni,negara
68,3,靴,くつ,靴(くつ),kutsu,sepatu
69,3,事務所,じむしょ,事務所(じむしょ),jimusho,kantor
70,3,じどうはんばいき,じどうはんばいき,じどうはんばいき,jidouhanbaiki,mesin penjual otomatis
71,3,食堂,しょくどう,食堂(しょくどう),shokudou,kantin/ruang makan
72,3,スイス,スイス,スイス,suisu,Swiss
73,3,すみません,すみません,すみません,sumimasen,permisi/maaf
74,3,たばこ,たばこ,たばこ,tabako,rokok
75,3,ちか,ちか,ちか,chika,bawah tanah
76,3,どうも,どうも,どうも,doumo,terima kasih
77,3,どこ(どちら),どこ,どこ(どちら),doko,mana (sopan)
78,3,トイレ(おてあらい),トイレ,トイレ(おてあらい),toire,toilet/kamar kecil
79,3,ネクタイ,ネクタイ,ネクタイ,nekutai,dasi
80,3,ひゃく,ひゃく,ひゃく,hyaku,ratus
81,3,へや,へや,へや,heya,kamar/ruangan
82,3,まん,まん,まん,man,puluh ribu
